経度,緯度,所在地コード,用途,連番,年次,前年所在地コード,前年用途,前年連番,市区町村名,住居表示,行政,地積,利用の現況,利用状況表示,建物構造,施設,形状区分,間口（比率）,奥行（比率）,階層（地上）,階層（地下）,前面道路区分,前面道路の方位区分,前面道路の幅員,前面道路の舗装状況,側道区分,側道方位区分,周辺の土地の利用の現況,駅名,駅距離,用途区分,防火区分,都市計画区分,森林区分,公園区分,建蔽率,容積率,共通地点区分,選定年次ビット,Ｓ５８価格,Ｓ５９価格,Ｓ６０価格,Ｓ６１価格,Ｓ６２価格,Ｓ６３価格,Ｈ１価格,Ｈ２価格,Ｈ３価格,Ｈ４価格,Ｈ５価格,Ｈ６価格,Ｈ７価格,Ｈ８価格,Ｈ９価格,Ｈ１０価格,Ｈ１１価格,Ｈ１２価格,Ｈ１３価格,Ｈ１４価格,Ｈ１５価格,Ｈ１６価格,Ｈ１７価格,Ｈ１８価格,Ｈ１９価格,Ｈ２０価格,Ｈ２１価格,Ｈ２２価格,Ｈ２３価格,Ｈ２４価格,Ｈ２５価格,Ｈ２６価格,Ｈ２７価格,Ｈ２８価格,Ｈ２９価格,Ｈ３０価格,属性移動Ｓ５９,属性移動Ｓ６０,属性移動Ｓ６１,属性移動Ｓ６２,属性移動Ｓ６３,属性移動Ｈ１,属性移動Ｈ２,属性移動Ｈ３,属性移動Ｈ４,属性移動Ｈ５,属性移動Ｈ６,属性移動Ｈ７,属性移動Ｈ８,属性移動Ｈ９,属性移動Ｈ１０,属性移動Ｈ１１,属性移動Ｈ１２,属性移動Ｈ１３,属性移動Ｈ１４,属性移動Ｈ１５,属性移動Ｈ１６,属性移動Ｈ１７,属性移動Ｈ１８,属性移動Ｈ１９,属性移動Ｈ２０,属性移動Ｈ２１,属性移動Ｈ２２,属性移動Ｈ２３,属性移動Ｈ２４,属性移動Ｈ２５,属性移動Ｈ２６,属性移動Ｈ２７,属性移動Ｈ２８,属性移動Ｈ２９,属性移動Ｈ３０
503328.428,128855.094,13121,000,016,2018,13121,000,016,足立,東京都　足立区東保木間２－１９－３,13121,165,10000000000000000,_,LS2,111,_,020,010,02,0,市区町村道,西,0060,_,_,_,住宅、共同住宅の他に駐車場も見られる住宅地域,六町,1500,2中専,準防,市街化,_,_,60,200,true,000000000000000000000000000111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,234000,232000,232000,234000,237000,239000,245000,253000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000010000000,10000000000000,10000000000000,10000010000000
503332.404,128416.311,13108,000,008,2018,13108,000,008,江東,東京都　江東区東陽５－２６－７,13108,296,10100000000000100,共同住宅,RC5,111,_,010,020,05,0,市区町村道,北,0080,_,_,_,住宅、共同住宅、事務所等が混在する住宅地域,東陽町,370,準工,準防,市街化,_,_,60,300,false,000011111111111111111111111111111111,0,0,0,0,1730000,2160000,2030000,2030000,2000000,1440000,1250000,1080000,790000,632000,572000,553000,505000,450000,414000,394000,388000,385000,385000,407000,480000,507000,463000,441000,429000,429000,432000,443000,455000,472000,495000,535000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10001000000000,10001000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10001000000000,10000000000010,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
503332.784,128608.127,13107,000,005,2018,13107,000,005,墨田,東京都　墨田区東向島３－１６－１７,13107,155,10100000000000000,_,S3,111,_,010,015,03,0,市区町村道,南西,0044,_,_,_,住宅、事務所、小工場が混在する住宅地域,東向島,600,準工,準防,市街化,_,_,80,200,false,111111111111111111111111111111111111,352000,357000,359000,364000,540000,587000,587000,618000,618000,545000,491000,450000,430000,395000,375000,364000,347000,334000,321000,306000,298000,296000,295000,306000,330000,340000,312000,302000,295000,294000,295000,300000,304000,310000,318000,337000,20001000000000,10001000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000010,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
503333.306,128576.205,13107,005,008,2018,13107,005,008,墨田,東京都　墨田区東向島２－１１－１６,13107,161,11000000000000100,共同住宅,S4,111,台形,015,010,04,0,市区町村道,南東,0180,_,_,_,店舗、営業所、マンション等が混在する商業地域,曳舟,350,商業,防火,市街化,_,_,80,400,false,000000001111111111111111111111111111,0,0,0,0,0,0,0,0,1770000,1350000,1200000,984000,764000,620000,550000,516000,480000,440000,415000,400000,393000,390000,388000,398000,451000,477000,438000,419000,410000,410000,411000,420000,428000,436000,451000,474000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000010,10000000000000,10000000000000,10100000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
503334.092,128474.596,13108,000,009,2018,13108,000,009,江東,東京都　江東区猿江２－９－４,13108,148,10000000000000100,共同住宅,S3,111,_,010,020,03,0,市区町村道,北,0060,_,_,_,マンション、アパート等が混在する住宅地域,住吉,90,準工,準防,市街化,_,_,60,300,false,000000111111111111111111111111111111,0,0,0,0,0,0,1560000,1580000,1550000,1230000,1060000,900000,702000,610000,570000,534000,500000,480000,460000,444000,435000,433000,432000,450000,504000,528000,488000,474000,462000,462000,465000,476000,486000,500000,524000,551000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000010,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10010000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
503338.215,128593.079,13107,005,011,2018,13107,005,011,墨田,東京都　墨田区東向島２－２３－４,13107,112,11000000000000000,_,W2,111,_,010,015,02,0,国道,北西,0220,_,_,_,小売店舗、共同住宅等が建ち並ぶ商業地域,曳舟,330,商業,防火,市街化,_,_,80,500,false,111111111111111111111111111111111111,556000,562000,568000,641000,1610000,1770000,1790000,1850000,1800000,1300000,1060000,950000,741000,600000,540000,510000,475000,440000,415000,400000,391000,388000,386000,396000,448000,470000,432000,415000,407000,406000,407000,414000,421000,428000,441000,463000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000010,10000000000000,10000000000000,10100000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
503339.799,128846.597,13121,005,018,2018,13121,005,018,足立,東京都　足立区東保木間１－２６－２３,13121,651,01000000000010000,_,S1,111,_,010,020,01,0,市区町村道,東,0120,_,_,_,低層店舗、事業所等が建ち並ぶ路線商業地域,六町,1000,準工,準防,市街化,_,_,60,200,false,000000000000000000000000000000111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274000,276000,277000,279000,286000,299000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
503339.940,128477.606,13108,000,002,2018,13108,000,002,江東,東京都　江東区住吉２－２７－２,13108,94,10000000000000100,車庫,S3,111,_,010,015,03,0,市区町村道,南,0050,_,_,_,一般住宅のほか共同住宅も見られる住宅地域,住吉,100,1住居,準防,市街化,_,_,60,300,false,000000000011111111111111111111111111,0,0,0,0,0,0,0,0,0,0,874000,720000,590000,525000,490000,464000,430000,415000,400000,395000,395000,395000,395000,408000,447000,467000,432000,420000,412000,412000,415000,426000,436000,450000,472000,500000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000010,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
503342.708,128459.724,13108,005,007,2018,13108,005,007,江東,東京都　江東区扇橋３－１５－１０,13108,78,11000000000000100,共同住宅,S5,111,_,010,015,05,0,都道府県道,南,0220,_,_,_,店舗、事務所等併用住宅が建ち並ぶ商業地域,住吉,580,商業,防火,市街化,_,_,80,400,false,000000011111111111111111111111111111,0,0,0,0,0,0,0,2010000,2000000,1600000,1330000,1150000,874000,700000,602000,545000,522000,490000,465000,446000,435000,432000,432000,446000,530000,562000,506000,488000,475000,474000,475000,490000,502000,514000,534000,566000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000010,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
503343.261,128780.166,13121,000,007,2018,13121,000,007,足立,東京都　足立区青井３－１９－１５,13121,107,10000000000000000,_,W2,111,_,010,015,02,0,市区町村道,南,0060,_,_,_,中小規模の一般住宅が多い閑静な住宅地域,青井,310,1中専,準防,市街化,_,_,60,200,false,000000000000000000000000000000111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329000,331000,333000,340000,352000,367000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
