iter	Passed	Remaining
399	50650	75976
400	50760	75824
401	50864	75663
402	50962	75494
403	51058	75323
404	51156	75155
405	51243	74971
406	51328	74785
407	51410	74595
408	51509	74430
409	51619	74281
410	51730	74134
411	51832	73974
412	51948	73834
413	52090	73731
414	52204	73589
415	52337	73474
416	52447	73325
417	52549	73167
418	52641	72994
419	52730	72817
420	53184	73144
421	53883	73802
422	54208	73943
423	54298	73763
424	54384	73579
425	54496	73429
426	54611	73284
427	54704	73109
428	54815	72959
429	54934	72820
430	55041	72665
431	55202	72581
432	55295	72407
433	55402	72253
434	55542	72140
435	55772	72145
436	55889	72004
437	55993	71845
438	56136	71737
439	56255	71597
440	56345	71422
441	56431	71241
442	56522	71067
443	56622	70905
444	56728	70751
445	56813	70570
446	56902	70396
447	57011	70246
448	57133	70112
449	57220	69936
450	57313	69767
451	57405	69598
452	57756	69741
453	57913	69648
454	58070	69557
455	58270	69515
456	58599	69627
457	58805	69590
458	58911	69436
459	59032	69299
460	59121	69124
461	59204	68943
462	59291	68767
463	59402	68620
464	59520	68480
465	59610	68309
466	59694	68131
467	59783	67959
468	59869	67783
469	59956	67610
470	60051	67445
471	60160	67298
472	60292	67175
473	60453	67085
474	60599	66978
475	60691	66811
476	60773	66634
477	60915	66522
478	61108	66466
479	61197	66296
480	61283	66124
481	61365	65949
482	61452	65778
483	61542	65611
484	61638	65451
485	61729	65285
486	61820	65121
487	61908	64953
488	61992	64781
489	62096	64631
490	62214	64495
491	62331	64358
492	62421	64194
493	62505	64023
494	62597	63861
495	62680	63691
496	62761	63519
497	62844	63349
498	62936	63188
499	63040	63040
500	63128	62876
501	63217	62714
502	63352	62597
503	63471	62464
504	63578	62319
505	63670	62160
506	63777	62016
507	63930	61916
508	64077	61811
509	64181	61664
510	64277	61510
511	64365	61348
512	64447	61181
513	64550	61034
514	64778	61004
515	65078	61042
516	65202	60914
517	65455	60906
518	65840	61019
519	65983	60907
520	66185	60850
521	66498	60893
522	66666	60802
523	66821	60700
524	67112	60720
525	67276	60625
526	67445	60534
527	67610	60439
528	67798	60364
529	67932	60242
530	68066	60118
531	68177	59975
532	68304	59846
533	68462	59744
534	68628	59649
535	68717	59486
536	68813	59330
537	68911	59177
538	69006	59020
539	69110	58871
540	69202	58712
541	69307	58566
542	69416	58422
543	69507	58263
544	69608	58113
545	69723	57975
546	69825	57826
547	69921	57672
548	70089	57578
549	70238	57468
550	70410	57376
551	70613	57309
552	70845	57265
553	71201	57321
554	71440	57280
555	71561	57146
556	71730	57049
557	71865	56926
558	71962	56771
559	72064	56622
560	72159	56467
561	72262	56318
562	72353	56160
563	72437	55998
564	72529	55841
565	72616	55681
566	72705	55523
567	72791	55362
568	72879	55204
569	72978	55054
570	73093	54916
571	73182	54759
572	73284	54611
573	73536	54575
574	73767	54523
575	73884	54387
576	74004	54252
577	74103	54103
578	74188	53943
579	74303	53805
580	74390	53648
581	74480	53492
582	74614	53368
583	74728	53231
584	74826	53081
585	74953	52953
586	75314	52989
587	75643	53001
588	75840	52920
589	75956	52783
590	76069	52643
591	76176	52500
592	76280	52354
593	76374	52202
594	76459	52043
595	76562	51897
596	76662	51750
597	76818	51640
598	76915	51491
599	77008	51339
600	77112	51194
601	77201	51039
602	77285	50882
603	77370	50726
604	77451	50567
605	77548	50419
606	77663	50283
607	77759	50134
608	77846	49980
609	77930	49824
610	78022	49673
611	78110	49521
612	78259	49406
613	78458	49323
614	78562	49181
615	78691	49054
616	78902	48978
617	79046	48860
618	79141	48712
619	79241	48567
620	79336	48419
621	79419	48264
622	79523	48122
623	79622	47977
624	79726	47835
625	79826	47691
626	79910	47538
627	80003	47390
628	80095	47242
629	80181	47090
630	80286	46950
631	80370	46798
632	80453	46645
633	80552	46501
634	80634	46348
635	80837	46265
636	81001	46159
637	81104	46018
638	81190	45868
639	81273	45716
640	81365	45569
641	81461	45425
642	81582	45295
643	81679	45152
644	81761	45000
645	81857	44856
646	81944	44708
647	82039	44564
648	82140	44424
649	82244	44285
650	82348	44147
651	82468	44016
652	82578	43881
653	82722	43764
654	82888	43658
655	83030	43540
656	83175	43423
657	85239	44303
