S12_001,S12_033
国分,0
北永野田,0
財部,0
姶良,0
餅原,0
重富,0
五十市,0
清武,0
北俣,0
加治木,0
霧島神宮,0
青井岳,0
西都城,0
田野,0
隼人,0
都城,0
加納,0
山之口,0
大隅大川原,0
竜ヶ水,0
錦江,0
三股,0
帖佐,0
日向沓掛,0
鹿児島,0
植村,0
吉尾,0
球泉洞,0
吉松,0
葉木,0
真幸,0
海路,0
白石,0
人吉,0
大隅横川,0
大畑,0
段,0
矢岳,0
坂本,0
栗野,0
瀬戸石,0
鎌瀬,0
西人吉,0
那良口,0
渡,0
一勝地,0
八代,0
隼人,0
中福良,0
霧島温泉,0
表木山,0
嘉例川,0
日当山,0
敷戸,0
中判田,0
竹中,0
大分大学前,0
滝尾,0
大分,0
大分,0
犬飼,0
赤水,0
豊後荻,0
阿蘇,0
市ノ川,0
いこいの村,0
滝水,0
内牧,0
瀬田,0
宮地,0
玉来,0
立野,0
三重町,0
波野,0
肥後大津,0
豊後竹田,0
原水,0
朝地,0
緒方,0
菅尾,0
豊後清川,0
水前寺,0
武蔵塚,0
平成,0
東海学園前,0
南熊本,0
新水前寺,0
竜田口,0
三里木,0
熊本,0
光の森,0
河原町,504
水道町,3415
慶徳校前,709
熊本城・市役所前,2796
花畑町,2160
辛島町,4767
呉服町,821
通町筋,7412
熊本駅前,0
祗園橋,446
健軍交番前,652
動植物園入口,579
八丁馬場,586
商業高校前,920
健軍町,6028
市立体育館前（県庁通）,1148
健軍校前,1103
神水・市民病院前,1280
水前寺公園,1323
県立体育館前,244
蔚山町（護国神社前）,672
新町,781
段山町,605
上熊本駅前,1927
西辛島町,357
本妙寺入口,331
杉塘,194
洗馬橋,581
辛島町,0
水前寺公園,0
味噌天神前,884
国府,895
交通局前,1463
新水前寺駅前,4737
九品寺交差点,1877
水道町,0
二本木口,443
田崎橋,943
熊本駅前,7203
上熊本,999
坪井川公園,233
黒石,903
新須屋,819
御代志,1086
熊本高専前,387
須屋,405
再春荘前,152
韓々坂,224
亀井,473
八景水谷,329
打越,106
北熊本,1109
三ツ石,358
堀川,701
池田,102
藤崎宮前,2852
黒髪町,674
北熊本,0
御岳山,713
滝本,746
安東,8028
城北,2081
大町,9477
上安,4911
西原,7537
伴中央,1453
県庁前,14823
毘沙門台,4192
大塚,1780
本通,22392
古市,4005
牛田,2309
長楽寺,3068
不動院前,4657
中筋,7992
広域公園前,2985
祗園新橋北,3902
白島,3091
大原,2971
伴,3082
高取,2913
広大附属学校前,2140
広電本社前,3321
宇品4丁目,1937
市役所前,3918
御幸橋,1564
日赤病院前,2725
袋町,2741
広島港(宇品),2316
県病院前,4007
本通,9392
海岸通,1916
宇品5丁目,1564
中電前,3188
宇品2丁目,2544
宇品3丁目,1859
皆実町6丁目,3915
元宇品口,1175
鷹野橋,3167
紙屋町東,0
紙屋町西,0
横川1丁目,1133
別院前,386
横川,7607
寺町,858
十日市町,821
比治山下,669
比治山橋,934
的場町,811
南区役所前,1990
皆実町2丁目,985
皆実町6丁目,1498
段原1丁目,557
広電阿品,3604
東高須,1955
広電西広島（己斐）,0
阿品東,584
山陽女子大前,3265
草津南,2167
地御前,1031
井口,2233
広電宮島口,6009
修大付属鈴峯前,4278
広電廿日市,3376
宮内,2286
草津,3038
楽々園,7194
広電五日市,7749
高須,3298
廿日市市役所前（平良）,3308
競艇場前,0
ＪＡ広島病院前,1674
古江,5605
商工センター入口,7159
佐伯区役所前,2641
江波,1962
舟入川口町,2209
舟入町,2083
舟入幸町,1317
舟入南町,2067
舟入本町,2153
土橋,0
白島,1946
家庭裁判所前,316
八丁堀,0
縮景園前,686
女学院前,296
八丁堀,2914
西観音町,1419
十日市町,4939
土橋,8140
的場町,2051
小網町,985
胡町,4467
天満町,1918
本川町,1934
十日市町,0
福島町,1368
観音町,1433
紙屋町西,17513
銀山町,3460
原爆ドーム前,3286
広島,29909
八丁堀,11234
紙屋町東,7880
猿猴橋町,2126
広電西広島（己斐）,13323
稲荷町,2063
立町,5535
津軽尾上,416
黒石,1594
館田,184
平賀,916
弘前,2784
尾上高校前,169
田舎館,179
新里,72
弘前東高前,300
境松,43
運動公園前,247
柏農高校前,215
弘高下,93
弘前学院大前,285
中央弘前,767
鯖石,80
石川,141
津軽大沢,107
石川プール前,44
宿川原,24
聖愛中高前,194
千年,179
義塾高校前,174
松木平,40
大鰐,395
小栗山,18
七里ヶ浜,7356
鎌倉,27194
柳小路,2657
鵠沼,4257
湘南海岸公園,1984
由比ヶ浜,2601
鎌倉高校前,4058
和田塚,1340
極楽寺,1890
石上,750
稲村ヶ崎,4384
長谷,10248
藤沢,23240
腰越,3065
江ノ島,10208
栗熊,618
岡田,526
仏生山,3124
瓦町,0
円座,1702
片原町,5305
畑田,253
陶,607
高松築港,12223
挿頭丘,378
三条,3060
滝宮,556
羽床,167
岡本,873
栗林公園,3225
一宮,1693
太田,4410
羽間,260
琴電琴平,1461
榎井,241
空港通り,1317
松島二丁目,544
六万寺,967
春日川,481
原,172
琴電志度,1114
房前,92
潟元,1897
沖松島,707
八栗,967
琴電屋島,799
塩屋,141
古高松,687
瓦町,0
今橋,704
大町,360
八栗新道,203
井戸,69
林道,1932
農学部前,737
学園通り,1266
高田,1435
花園,1051
西前田,137
平木,430
公文明,230
水田,1156
長尾,1074
元山,854
池戸,481
木太東口,939
白山,265
瓦町,14223
高尾山,3764
清滝,3764
欅平,2800
黒薙,100
宇奈月,4000
鐘釣,1000
トロッコ嵯峨,2700
トロッコ保津峡,20
トロッコ嵐山,2000
トロッコ亀岡,4500
稲野,7654
新伊丹,6706
塚口,0
伊丹,22946
烏丸,79934
河原町,78477
桂,45634
西院,39606
西京極,17861
大宮,26286
水無瀬,9504
茨木市,59000
上牧,9432
高槻市,58812
富田,18173
長岡天神,25365
総持寺,17154
東向日,12946
西向日,10229
洛西口,11807
南茨木,40886
大山崎,5876
淡路,32849
崇禅寺,5591
南方,37234
相川,16080
正雀,15604
上新庄,47599
十三,68183
苦楽園口,12174
甲陽園,10056
夙川,0
門戸厄神,20349
仁川,25202
甲東園,26815
逆瀬川,24614
今津,24320
西宮北口,0
宝塚南口,11499
阪神国道,3679
小林,15065
西宮北口,0
宝塚,0
神戸三宮,0
新開地,0
花隈,6730
高速神戸,0
十三,0
梅田,0
梅田,510643
中津,9739
神崎川,17860
西宮北口,100359
芦屋川,15527
夙川,27485
塚口,47351
塚口,0
園田,30701
岡本,28009
武庫之荘,48733
神戸三宮,106816
春日野道,10594
王子公園,18283
御影,16604
六甲,29516
下新庄,8565
豊津,13285
山田,23293
吹田,15378
関大前,28050
南千里,20544
千里山,15528
北千里,25949
柴島,4500
淡路,0
天神橋筋六丁目,0
三国,24887
曽根,24097
庄内,28301
中津,0
豊中,47953
十三,0
梅田,0
服部天神,23909
岡町,16773
宝塚,46046
清荒神,8402
石橋,44794
池田,46063
川西能勢口,57752
雲雀丘花屋敷,9975
中山観音,11665
山本,16762
蛍池,39869
売布神社,8369
箕面,14828
牧落,7703
桜井,10015
石橋,0
桂,0
上桂,7870
松尾大社,5054
嵐山,9390
住吉,0
北天下茶屋,102
聖天坂,192
今池,95
塚西,107
東粉浜,79
今船,103
東玉出,70
天神ノ森,160
恵美須町,667
新今宮駅前,704
松田町,104
住吉,874
大和川,116
浜寺駅前,853
宿院,595
我孫子道,2593
綾ノ町,488
石津,329
高須神社,396
細井川,706
船尾,555
東湊,877
安立町,1050
寺地町,372
御陵前,431
大小路,766
住吉鳥居前,1335
花田口,410
妙国寺前,341
神明町,394
帝塚山四丁目,1150
東天下茶屋,1547
北畠,2179
天王寺駅前,11343
住吉,0
松虫,921
帝塚山三丁目,1555
神ノ木,558
阿倍野,2006
姫松,1838
住吉公園,0
高速神戸,25812
西元町,4183
大開,4626
新開地,23285
高速長田,15475
西代,0
元町,0
千鳥橋,9003
西九条,0
尼崎,0
福,12382
伝法,8100
大物,0
出来島,10265
武庫川,0
洲先,1788
東鳴尾,2036
武庫川団地前,7276
梅田,165237
淀川,5203
福島,10722
野田,31782
姫島,13481
打出,15597
甲子園,50860
魚崎,28670
西宮,44417
住吉,3000
芦屋,28275
香櫨園,10716
深江,17947
青木,14856
武庫川,28678
出屋敷,11644
大物,7791
尼崎センタープール前,9235
杭瀬,8881
千船,16666
久寿川,4561
尼崎,52687
鳴尾,24978
今津,33258
西灘,5534
神戸三宮,110394
石屋川,6796
岩屋,11624
大石,9352
御影,27109
春日野道,15344
元町,27838
新在家,11178
戸塚安行,15000
東川口,31000
南鳩ヶ谷,15300
鳩ヶ谷,21800
浦和美園,18600
赤羽岩淵,0
川口元郷,19300
新井宿,11000
内宿,4780
原市,2801
加茂宮,5586
沼南,3899
今羽,5135
吉野原,3529
大宮,47152
丸山,2854
伊奈中央,2079
鉄道博物館,9570
東宮原,4725
羽貫,4464
志久,4030
西8丁目,1330
西15丁目,0
西4丁目,12610
中央区役所前,2880
中央図書館前,2144
西15丁目,3466
西線11条,3308
西線9条旭山公園通,2128
ロープウェイ入口,3040
電車事業所前,1215
西線14条,3074
西線16条,2675
西線6条,2320
石山通,1091
資生館小学校前,687
すすきの,4812
東屯田通,1982
山鼻9条,1406
中島公園通,1541
静修学園前,1463
中央図書館前,0
行啓通,1437
山鼻19条,942
幌南小学校前,1567
東本願寺前,888
新さっぽろ,42020
二十四軒,12634
ひばりが丘,10124
東札幌,21442
円山公園,30394
南郷7丁目,21616
琴似,28580
大谷地,27830
西11丁目,32896
南郷13丁目,14820
西28丁目,20482
宮の沢,29366
大通,0
バスセンター前,19194
発寒南,17674
南郷18丁目,21912
西18丁目,33228
菊水,22260
白石,28322
学園前,20350
大通,0
環状通東,18572
美園,10062
福住,33098
豊平公園,11258
栄町,16856
さっぽろ,0
豊水すすきの,16312
元町,19180
北13条東,7522
新道東,15968
東区役所前,17696
月寒中央,18610
平岸,16920
南平岸,15912
北24条,28940
大通,159694
自衛隊前,6884
さっぽろ,180992
すすきの,34940
北34条,14730
中の島,11908
幌平橋,10294
真駒内,27388
澄川,20144
麻生,41708
北12条,9838
北18条,15374
中島公園,19718
近鉄富田,6966
保々,1271
伊勢治田,430
大安,860
北勢中央公園口,673
梅戸井,281
暁学園前,3283
大矢知,633
山城,966
東藤原,113
西野尻,77
三里,739
丹生川,275
平津,319
西藤原,184
在良,299
東員,888
馬道,774
七和,639
阿下喜,603
穴太,689
大泉,533
西別所,254
麻生田,259
西桑名,4382
星川,1440
蓮花寺,673
楚原,1143
唐丹,23
陸前赤崎,6
吉浜,32
恋し浜,12
甫嶺,19
綾里,116
平田,11
三陸,39
盛,312
釜石,187
摂待,10
一の渡,6
佐羽根,6
陸中宇部,49
普代,195
白井海岸,5
岩泉小本,124
堀内,25
田老,139
宮古,393
野田玉川,11
田野畑,103
久慈,656
陸中野田,305
島越,39
赤湯,180
今泉,0
荒砥,156
梨郷,18
おりはた,36
西大塚,17
長井,268
蚕桑,26
鮎貝,55
あやめ公園,97
南長井,203
南陽市役所,5
時庭,11
羽前成田,49
宮内,245
白兎,15
公園,212
中学校,1138
井野,370
地区センター,260
ユーカリが丘,1764
女子大,244
大塩,3976
別府,7369
山陽魚住,1973
尾上の松,3229
伊保,2194
飾磨,7708
高砂,5543
的形,1633
藤江,2785
板宿,18070
西代,6094
山陽曽根,2748
播磨町,3743
西江井ヶ島,2748
白浜の宮,4815
西二見,4313
妻鹿,2158
中八木,2559
浜の宮,3729
江井ヶ島,3775
八家,2407
東二見,7037
亀山,1927
山陽姫路,23600
荒井,9372
手柄,1889
西新町,4312
須磨浦公園,1066
月見山,4782
山陽垂水,9939
大蔵谷,1854
人丸前,1242
舞子公園,3663
滝の茶屋,4619
東須磨,2791
山陽明石,25715
須磨寺,1872
霞ヶ丘,2232
山陽須磨,2570
東垂水,1210
林崎松江海岸,4533
山陽塩屋,1227
西舞子,1864
広畑,1616
平松,1105
山陽天満,1777
山陽網干,3484
夢前川,1633
西飾磨,1812
飾磨,0
八栗登山口,478
八栗山上,478
昭和町,1032
讃岐牟礼,514
木太町,688
丹生,276
讃岐津田,1066
讃岐相生,30
鶴羽,174
造田,478
栗林,2264
三本松,1472
引田,500
志度,2024
讃岐白鳥,498
オレンジタウン,218
栗林公園北口,928
屋島,1250
古高松南,486
神前,944
八栗口,490
高松,0
板東,394
阿波大宮,6
勝瑞,2410
吉成,672
阿波川端,154
池谷,180
板野,936
徳島,16224
佐古,1724
金蔵寺,516
多度津,0
善通寺,2904
阿波川口,94
土佐大津,850
入明,956
佃,58
円行寺口,518
三縄,38
高知商業前,1094
土佐穴内,6
黒川,28
琴平,2378
高知,10554
土佐山田,1912
豊永,20
讃岐財田,30
大田口,18
朝倉,1832
土佐一宮,716
箸蔵,92
薊野,346
角茂谷,8
土佐長岡,76
小歩危,16
坪尻,2
祖谷口,24
旭,1372
土佐岩原,12
土佐北川,4
繁藤,8
阿波池田,1538
山田西町,528
布師田,170
大歩危,238
新改,0
大杉,166
塩入,44
後免,3862
土佐加茂,146
六反地,10
岡花,134
枝川,722
西佐川,556
窪川,1072
佐川,782
安和,26
伊野,960
須崎,866
影野,32
仁井田,28
土佐久礼,336
大間,414
多ノ郷,478
吾桑,78
襟野々,142
日下,296
斗賀野,292
波川,282
土佐新荘,176
鴨島,1850
川田,204
貞光,1032
下浦,408
石井,2006
麻植塚,176
府中,1046
阿波半田,148
鮎喰,446
学,516
三加茂,144
西麻植,262
小島,100
阿波加茂,468
蔵本,858
穴吹,1452
牛島,546
山瀬,264
江口,190
阿波川島,932
辻,384
阿波山川,764
佐古,0
佃,0
喜多山,14
五十崎,6
内子,1320
新谷,222
宇多津,0
児島,0
田井ノ浜,4
羽ノ浦,1680
由岐,194
新野,458
南小松島,1862
桑野,252
見能林,614
阿波赤石,656
阿波福井,88
阿南,3134
立江,216
阿波橘,196
阿波中島,380
西原,206
阿波海南,186
地蔵橋,610
中田,876
阿波富田,902
日和佐,326
浅川,8
北河内,60
山河内,20
木岐,54
二軒屋,1148
辺川,10
鯖瀬,2
文化の森,282
牟岐,302
海部,52
徳島,0
鳴門,1502
金比羅前,76
撫養,470
教会前,60
阿波大谷,86
立道,64
池谷,0
多度津,4190
高松,25882
鴨川,692
香西,1066
宇多津,4472
坂出,10552
端岡,2664
鬼無,1370
八十場,210
讃岐塩屋,670
国分,752
讃岐府中,680
丸亀,8020
津島ノ宮,3408
詫間,1800
海岸寺,142
川之江,1250
観音寺,3184
箕浦,34
伊予寒川,194
高瀬,1278
比地大,266
豊浜,472
伊予三島,1970
本山,544
みの,474
伊予北条,2504
伊予横田,218
中萩,218
伊予土居,702
伊予亀岡,172
大西,380
伊予小松,526
赤星,248
伊予和気,792
伊予富田,240
玉之江,108
菊間,428
松山,14344
光洋台,264
柳原,252
大浦,46
波止浜,260
伊予桜井,538
堀江,438
浅海,160
市坪,560
伊予氷見,112
伊予西条,3098
新居浜,4142
関川,120
波方,122
多喜浜,174
壬生川,1712
北伊予,486
今治,4976
粟井,780
三津浜,1106
伊予三芳,438
石鎚山,82
下灘,80
下宇和,26
伊予上灘,196
伊予吉田,290
立間,136
向井原,100
伊予大洲,1914
伊予平野,66
宇和島,2580
伊予出石,72
伊予中山,216
千丈,10
伊予石城,32
高光,4
上宇和,164
串,10
八幡浜,2038
伊予白滝,72
伊予市,1182
五郎,38
鳥ノ木,358
伊予大平,26
西大洲,82
春賀,36
喜多灘,34
伊予立川,44
八多喜,86
双岩,66
伊予長浜,414
高野川,64
卯之町,640
内子,0
新谷,0
北宇和島,132
打井川,2
十川,16
江川崎,46
家地川,2
土佐大正,30
真土,8
若井,0
半家,4
西ヶ方,10
土佐昭和,6
吉野生,26
北宇和島,0
伊予宮野下,246
務田,82
出目,24
深田,16
大内,34
松丸,124
近永,400
二名,38
朝日通,1330
水族館口,1052
天文館通,3826
鹿児島駅前,1197
新屋敷,804
桜島桟橋通,1332
高見馬場,3027
甲東中学校前,496
いづろ通,3347
武之橋,0
市役所前,1371
高見馬場,0
鹿児島中央駅前,5228
加治屋町,882
高見橋,737
武之橋,656
二中通,1093
涙橋,788
笹貫,1729
宇宿一丁目,682
谷山,5793
郡元,6779
上塩屋,1233
荒田八幡,1316
二軒茶屋,766
騎射場,1764
南鹿児島駅前,1248
脇田,2365
鴨池,778
郡元,0
鹿児島中央駅前,0
都通,929
中郡,1629
唐湊,486
中洲通,706
市立病院前,996
神田（交通局前）,699
工学部前,586
純心学園前,1796
徳宿,82
大洗,2247
鹿島旭,385
常澄,794
涸沼,253
東水戸,161
水戸,4123
鹿島灘,198
鹿島大野,261
北浦湖畔,26
大洋,267
新鉾田,1455
長者ヶ浜潮騒はまなす公園前,92
荒野台,156
鹿島サッカースタジアム,0
芝山千代田,1513
東成田,0
丹比,101
若桜,248
八頭高校前,288
因幡船岡,37
郡家,0
八東,66
安部,48
隼,48
徳丸,36
柏たなか,9800
守谷,48700
万博記念公園,5700
流山おおたかの森,72800
みどりの,8400
つくば,35800
みらい平,9900
研究学園,14100
柏の葉キャンパス,33000
北千住,99200
三郷中央,27900
六町,28600
浅草,21800
八潮,44400
南流山,71800
青井,13100
秋葉原,133000
南千住,11200
流山セントラルパーク,9200
新御徒町,42200
鷹巣,519
米内沢,135
羽後中里,5
上杉,21
比立内,31
前田南,14
桂瀬,26
小ヶ田,11
笑内,8
戸沢,2
西明寺,13
左通,2
羽後太田,1
西鷹巣,9
八津,6
荒瀬,8
阿仁前田,92
萱草,3
奥阿仁,1
阿仁合,135
上桧木内,10
合川,112
羽後長戸呂,12
大野台,14
松葉,86
岩野目,0
小渕,17
阿仁マタギ,24
角館,253
相模大野,0
鶴間,30443
中央林間,97068
東林間,21779
相模大野,0
南林間,33976
湘南台,91150
長後,35145
藤沢,165124
鵠沼海岸,20079
本鵠沼,13632
桜ヶ丘,20608
大和,117883
六会日大前,30453
藤沢本町,21954
善行,26968
片瀬江ノ島,20699
高座渋谷,25492
代々木八幡,20527
喜多見,34306
豪徳寺,27258
下北沢,115658
南新宿,4024
千歳船橋,58019
参宮橋,15546
祖師ヶ谷大蔵,48533
梅ヶ丘,32921
新宿,506229
世田谷代田,8343
東北沢,6729
経堂,77959
成城学園前,89468
代々木上原,262708
町田,292579
狛江,46890
読売ランド前,35761
生田,45813
和泉多摩川,15934
百合ヶ丘,21404
柿生,37504
玉川学園前,48303
相模大野,130161
小田急相模原,56568
登戸,162582
相武台前,40359
向ヶ丘遊園,67522
鶴川,69141
新百合ヶ丘,126772
小田原,66983
海老名,150570
愛甲石田,53371
新松田,24238
足柄,3917
座間,21449
栢山,9112
厚木,20699
本厚木,153190
秦野,43329
鶴巻温泉,15041
開成,11329
伊勢原,52516
富水,6849
渋沢,28340
東海大学前,40950
螢田,6283
相模大野,0
五月台,10218
新百合ヶ丘,0
唐木田,19277
小田急多摩センター,50319
黒川,8476
栗平,23268
はるひ野,9865
小田急永山,31203
五井,1333
上総鶴舞,15
里見,62
上総久保,10
海士有木,209
上総山田,116
養老渓谷,150
馬立,191
月崎,12
上総村上,111
上総牛久,611
上総大久保,12
飯給,4
光風台,334
上総中野,36
上総三又,102
上総川間,64
高滝,24
北佐世保,518
小浦,315
神田,78
真申,88
泉福寺,1069
鷹島口,65
山谷,50
今福,103
久原,65
江迎鹿町,480
左石,970
西有田,122
相浦,164
伊万里,1005
中里,219
福島口,53
野中,154
川東,267
三代橋,97
本山,182
松浦,538
上相浦,653
調川,116
佐々,599
金武,45
大木,38
楠久,74
西木場,46
浦ノ崎,77
里,74
東山代,74
皆瀬,215
高岩,160
前浜,36
波瀬,14
いのつき,60
すえたちばな,5
中佐世保,205
清峰高校前,528
棚方,193
大学,1046
吉井,198
黒川,77
佐世保中央,892
中田平,14
蔵宿,53
東田平,12
潜竜ヶ滝,143
西田平,363
山の田,80
たびら平戸口,237
御厨,274
鳴石,55
佐世保,1514
松浦発電所前,28
夫婦石,40
有田,704
三溝,370
信濃荒井,94
西松本,88
渚,140
大庭,372
松本,3769
下新,166
北新・松本大学前,1169
新村,283
渕東,65
波田,1079
新島々,646
下島,419
森口,573
西鎌倉,5199
目白山下,254
大船,27233
湘南深沢,5545
湘南江の島,4395
富士見町,4092
湘南町屋,6853
片瀬山,3844
上州一ノ宮,183
南蛇井,99
上州富岡,502
西富岡,162
吉井,317
西山名,174
西吉井,134
山名,129
南高崎,59
上州新屋,124
下仁田,238
馬庭,392
神農原,88
根小屋,166
東富岡,225
上州七日市,208
上州福島,283
高崎,2234
高崎商科大学前,210
千平,12
中野,101
八木沢,83
神畑,131
下之郷,329
中塩田,64
塩田町,362
城下,54
舞田,59
寺下,170
大学前,776
上田原,891
赤坂上,228
別所温泉,563
三好町,86
上田,3117
新川,286
丸山下,68
樋越,205
赤城,717
北原,244
中央前橋,1702
新里,343
江木,289
富士山下,94
粕川,249
赤坂,224
片貝,335
城東,138
三俣,189
大胡,869
心臓血管センター,64
東新川,52
西桐生,1638
上泉,98
膳,107
新屋,203
天王宿,225
信楽,658
紫香楽宮跡,60
玉桂寺前,13
勅旨,152
雲井,294
貴生川,0
高根公団,15593
鎌ヶ谷大仏,14674
新鎌ヶ谷,34156
みのり台,8804
初富,5587
北初富,5225
薬園台,15038
二和向台,17799
高根木戸,8414
元山,18458
くぬぎ山,7331
松戸新田,6497
八柱,45578
前原,8932
三咲,13752
新津田沼,69577
五香,30125
滝不動,7642
常盤平,18934
北習志野,46108
習志野,13396
京成津田沼,0
松戸,106727
上本郷,7225
七井,327
折本,47
下館二高前,77
北山,56
西田井,41
久下田,229
北真岡,215
ひぐち,50
市塙,160
多田羅,146
笹原田,4
真岡,938
寺内,82
天矢場,27
茂木,584
益子,210
下館,744
ハーバーランド,15018
中央市場前,6306
三宮・花時計前,15808
旧居留地・大丸前,3904
みなと元町,3644
御崎公園,6496
新長田,0
和田岬,21236
苅藻,3466
駒ヶ林,2564
県庁前,11218
上沢,7644
湊川公園,21026
大倉山,11768
三宮,122408
長田,12166
新神戸,46608
新長田,0
総合運動公園,14528
西神南,26992
名谷,0
学園都市,37204
西神中央,50292
伊川谷,10004
板宿,26286
妙法寺,33878
新長田,61198
名谷,52776
虹,665
摩耶ケーブル,665
アイランドセンター,18279
アイランド北口,8474
魚崎,10575
南魚崎,1810
マリンパーク,6967
住吉,26607
鈴蘭台,0
小野,3435
緑が丘,3142
栄,1418
広野ゴルフ場前,960
藍那,166
恵比須,1266
三木上の丸,339
木幡,824
木津,1074
鈴蘭台西口,1294
樫山,529
市場,213
大村,926
葉多,234
志染,3667
三木,1854
西鈴蘭台,9098
押部谷,1526
横山,0
フラワータウン,5723
南ウッディタウン,1829
ウッディタウン中央,3648
岡場,11960
道場南口,3277
神鉄道場,2711
横山,4724
三田,16903
田尾寺,6293
三田本町,641
二郎,193
有馬口,0
五社,2099
新開地,0
湊川,0
有馬口,1002
大池,3602
湊川,12693
神鉄六甲,1057
箕谷,2521
有馬温泉,3666
長田,3889
花山,4032
谷上,0
鵯越,1050
鈴蘭台,19204
丸山,1146
山の街,4689
唐櫃台,3157
北鈴蘭台,12551
名越,431
近義の里,243
貝塚,4528
石才,461
貝塚市役所前,256
水間観音,1380
三ツ松,439
清児,1308
森,723
三ヶ山口,297
球場前,376
倉敷市,4569
弥生,574
浦田,688
常盤,347
水島,1326
西富井,735
栄,537
福井,545
三菱自工前,109
宮の陣,0
大堰,383
古賀茶屋,577
馬田,116
学校前,368
上浦,117
五郎丸,717
本郷,395
金島,679
甘木,1352
大城,666
北野,1617
貝塚,15722
香椎花園前,3111
西鉄新宮,1358
和白,2094
唐の原,1015
香椎宮前,2338
三苫,3442
西鉄香椎,3715
西鉄千早,5737
名島,2858
西鉄二日市,0
太宰府,12049
西鉄五条,6032
味坂,194
蒲池,426
春日原,21148
端間,1677
西鉄中島,914
三国が丘,5645
安武,973
西鉄柳川,11448
徳益,219
都府楼前,6635
大保,2785
雑餉隈,14730
大橋,35680
試験場前,2984
筑紫,6391
下大利,15281
三潴,865
西鉄小郡,11320
八丁牟田,1237
大善寺,3442
西鉄平尾,12656
薬院,39891
井尻,22033
西鉄久留米,33555
津福,2523
西鉄福岡(天神),131108
三沢,1833
矢加部,182
津古,2524
高宮,19837
花畑,7594
櫛原,1060
宮の陣,2232
大溝,1048
塩塚,444
白木原,9199
西鉄二日市,21562
朝倉街道,12835
桜台,2080
犬塚,1045
西鉄渡瀬,356
倉永,1296
西鉄銀水,741
大牟田,8579
開,678
新栄町,4311
江の浦,337
東甘木,442
海老江,22822
新福島,19797
北新地,101577
大阪城北詰,9658
御幣島,26369
京橋,0
大阪天満宮,50020
加島,17598
尼崎,0
東津山,0
郡家,2029
鳥取,0
国英,52
用瀬,181
河原,152
高野,55
鷹狩,80
津ノ井,1208
因幡社,39
智頭,2911
美作河井,16
美作滝尾,69
那岐,49
土師,47
三浦,33
東郡家,126
知和,12
美作加茂,141
居能,373
宇部岬,405
琴芝,1412
深溝,199
宇部新川,1801
床波,716
新山口,0
丸尾,431
周防佐山,107
岐波,425
岩鼻,565
岩倉,60
東新川,855
阿知須,656
草江,184
常盤,261
上嘉川,102
宇部,0
岡山,0
備中箕島,354
久々原,140
迫川,452
大元,3532
早島,2399
備前西市,3277
妹尾,6398
備前田井,635
備前片岡,484
宇野,2491
茶屋町,7828
常山,926
彦崎,597
八浜,867
柿ケ島,0
美山,44
市波,34
越前大野,461
越前富田,8
計石,11
越前田野,0
牛ケ原,6
小和清水,19
越前薬師,3
下唯野,8
北大野,31
越前高田,8
越前大宮,8
勝原,2
一乗谷,27
九頭竜湖,33
越前下山,3
越前東郷,170
六条,13
越前花堂,952
足羽,19
谷川,0
比延,25
黒田庄,67
久下村,7
本黒田,57
新西脇,15
日本へそ公園,20
船町口,16
滝野,567
青野ヶ原,320
神野,2167
厄神,1791
市場,426
西脇市,1561
社町,827
河合西,311
滝,102
小野町,835
加古川,0
加古川,0
日岡,1222
上八木,1162
古市橋,3696
梅林,2632
大町,8741
三滝,1121
安芸長束,6016
可部,4944
下祗園,10926
七軒茶屋,1686
中島,1632
緑井,5412
横川,0
関西空港,28590
りんくうタウン,6543
日根野,0
新堂,434
島ヶ原,264
伊賀上野,1706
佐那具,243
柘植,654
関,569
加太,126
亀山,0
奈良,36614
笠置,439
平城山,2683
加茂,4594
月ヶ瀬口,330
大河原,107
木津,9350
JR難波,49336
今宮,9209
新今宮,0
天王寺,0
王寺,48733
三郷,4134
久宝寺,34700
柏原,28190
東部市場前,15668
八尾,26291
郡山,10493
河内堅上,755
法隆寺,14334
加美,18222
天王寺,296508
大和小泉,15913
志紀,21433
高井田,9179
平野,22857
岩国,0
欽明路,109
西岩国,706
周防高森,874
高水,407
櫛ヶ浜,0
柱野,72
周防久保,167
勝間,323
米川,42
周防花岡,593
川西,1041
生野屋,228
大河内,221
玖珂,815
新宮,1917
江住,30
那智,52
紀伊佐野,519
紀伊天満,90
太地,222
紀伊有田,10
和深,33
下里,152
紀伊田原,43
宇久井,124
紀伊姫,10
紀伊浦神,39
周参見,254
串本,708
古座,312
紀伊勝浦,800
三輪崎,56
田子,11
田並,23
湯川,20
見老津,26
和歌山,38134
和佐,141
紀伊新庄,111
湯浅,2153
紀和,242
紀伊内原,399
藤並,2715
芳養,162
南部,1607
初島,722
椿,37
白浜,1488
宮前,3197
紀三井寺,4262
切目,145
海南,5930
稲原,157
紀伊富田,106
朝来,511
広川ビーチ,438
道成寺,185
岩代,157
冷水浦,220
紀伊田辺,2942
和歌山市,4059
印南,335
御坊,3496
紀伊宮原,1210
黒江,5126
紀伊由良,694
加茂郷,1514
箕島,3494
紀伊日置,159
下津,910
大安寺,687
備前一宮,1975
吉備津,1204
備中高松,2573
足守,1345
岡山,0
備前三門,2064
服部,1599
東総社,1798
総社,0
米子,0
後藤,866
富士見町,310
馬場崎町,433
大篠津町,136
