iter	Passed	Remaining
412	3634	5166
413	3643	5156
414	3651	5146
415	3659	5137
416	3668	5128
417	3676	5119
418	3685	5109
419	3693	5100
420	3701	5091
421	3709	5081
422	3719	5073
423	3729	5067
424	3741	5062
425	3751	5054
426	3760	5046
427	3769	5038
428	3779	5030
429	3788	5022
430	3798	5015
431	3808	5007
432	3817	4999
433	3835	5002
434	3845	4995
435	3854	4986
436	3865	4979
437	3874	4971
438	3882	4962
439	3891	4952
440	3900	4943
441	3910	4937
442	3919	4928
443	3928	4919
444	3937	4911
445	3946	4901
446	3954	4892
447	3962	4882
448	3970	4873
449	3979	4863
450	3987	4853
451	3995	4844
452	4004	4834
453	4012	4825
454	4020	4816
455	4029	4806
456	4037	4797
457	4046	4788
458	4055	4779
459	4083	4793
460	4101	4795
461	4115	4792
462	4133	4794
463	4143	4787
464	4155	4781
465	4167	4776
466	4179	4770
467	4188	4761
468	4197	4752
469	4207	4744
470	4216	4735
471	4224	4725
472	4232	4716
473	4241	4706
474	4249	4697
475	4261	4691
476	4269	4681
477	4277	4671
478	4285	4661
479	4294	4651
480	4302	4642
481	4310	4632
482	4319	4623
483	4327	4613
484	4335	4603
485	4343	4594
486	4353	4586
487	4362	4577
488	4371	4567
489	4379	4558
490	4391	4552
491	4400	4543
492	4413	4538
493	4421	4529
494	4430	4519
495	4438	4510
496	4446	4500
497	4455	4491
498	4464	4482
499	4472	4472
500	4480	4462
501	4488	4452
502	4497	4443
503	4505	4433
504	4513	4424
505	4521	4414
506	4529	4404
507	4537	4394
508	4546	4385
509	4554	4375
510	4562	4366
511	4570	4356
512	4579	4347
513	4587	4337
514	4596	4328
515	4604	4318
516	4612	4309
517	4620	4299
518	4628	4289
519	4636	4280
520	4651	4276
521	4661	4268
522	4669	4258
523	4677	4248
524	4685	4239
525	4693	4229
526	4702	4220
527	4711	4211
528	4719	4201
529	4728	4193
530	4737	4183
531	4745	4174
532	4753	4164
533	4762	4156
534	4771	4146
535	4779	4137
536	4788	4128
537	4797	4119
538	4807	4111
539	4817	4103
540	4826	4094
541	4836	4086
542	4846	4079
543	4855	4070
544	4865	4061
545	4874	4053
546	4885	4045
547	4896	4038
548	4908	4032
549	4918	4024
550	4927	4015
551	4936	4006
552	4944	3997
553	4953	3987
554	4961	3978
555	4970	3969
556	4978	3959
557	4986	3950
558	4995	3940
559	5003	3931
560	5011	3921
561	5019	3912
562	5028	3903
563	5037	3893
564	5045	3884
565	5054	3875
566	5063	3866
567	5072	3857
568	5081	3848
569	5090	3840
570	5100	3832
571	5110	3824
572	5119	3815
573	5129	3807
574	5141	3799
575	5149	3790
576	5159	3782
577	5168	3773
578	5185	3770
579	5196	3762
580	5206	3754
581	5215	3745
582	5225	3737
583	5234	3728
584	5242	3719
585	5250	3709
586	5259	3700
587	5267	3691
588	5276	3681
589	5284	3672
590	5293	3663
591	5301	3653
592	5310	3644
593	5318	3635
594	5327	3626
595	5335	3616
596	5344	3607
597	5352	3598
598	5361	3589
599	5370	3580
600	5382	3573
